,genes_to_add
0,BSU_16380
1,BSU_03590
2,BSU_37640
3,BSU_34740
4,BSU_22020
5,BSU_13670
6,BSU_18070
7,BSU_23040
8,BSU_27890
9,BSU_26990
10,BSU_19440
11,BSU_23940
12,BSU_27700
13,BSU_00980
14,BSU_24570
15,BSU_14040
16,BSU_25780
17,BSU_14560
18,BSU_17870
19,BSU_18050
20,BSU_25510
21,BSU_05910
22,BSU_19950
23,BSU_05990
24,BSU_35360
25,BSU_13440
26,BSU_05610
27,BSU_17840
28,BSU_25289
29,BSU_28820
30,BSU_15010
31,BSU_29280
32,BSU_31370
33,BSU_32720
34,BSU_12229
35,BSU_24370
36,BSU_13150
37,BSU_28580
38,BSU_11560
39,BSU_25480
40,BSU_15710
41,BSU_04680
42,BSU_06680
43,BSU_30595
44,BSU_32050
45,BSU_03460
46,BSU_22460
47,BSU_14370
48,BSU_04040
49,BSU_17050
50,BSU_05050
51,BSU_05340
52,BSU_23910
53,BSU_36910
54,BSU_14650
55,BSU_10030
56,BSU_11460
57,BSU_09990
58,BSU_22950
59,BSU_18460
60,BSU_05120
61,BSU_04070
62,BSU_13470
63,BSU_19210
64,BSU_11120
65,BSU_11470
66,BSU_38620
67,BSU_24290
68,BSU_13250
69,BSU_16190
70,BSU_11430
71,BSU_32520
72,BSU_41050
73,BSU_11450
74,BSU_29540
75,BSU_40660
76,BSU_08820
77,BSU_40320
78,BSU_00190
79,BSU_24810
80,BSU_32400
81,BSU_00390
82,BSU_14360
83,BSU_28270
84,BSU_25170
85,BSU_22530
86,BSU_31360
87,BSU_40100
88,BSU_25030
89,BSU_02950
90,BSU_13860
91,BSU_34040
92,BSU_10070
93,BSU_09890
94,BSU_29830
95,BSU_37970
96,BSU_08720
97,BSU_05190
98,BSU_17940
99,BSU_30580
100,BSU_26560
101,BSU_15430
102,BSU_40960
103,BSU_08640
104,BSU_23620
105,BSU_22720
106,BSU_40350
107,BSU_30700
108,BSU_10220
109,BSU_27510
110,BSU_03210
111,BSU_19680
112,BSU_23130
113,BSU_28410
114,BSU_25810
115,BSU_07955
116,BSU_09450
117,BSU_37170
118,BSU_35910
119,BSU_34450
120,BSU_24430
121,BSU_07880
122,BSU_29570
123,BSU_39240
124,BSU_24100
125,BSU_30470
126,BSU_09750
127,BSU_26980
128,BSU_32680
129,BSU_07630
130,BSU_30500
131,BSU_05090
132,BSU_17950
133,BSU_19220
134,BSU_34700
135,BSU_05160
136,BSU_22470
137,BSU_32469
138,BSU_26826
139,BSU_34990
140,BSU_03920
141,BSU_06330
142,BSU_33680
143,BSU_24840
144,BSU_37020
145,BSU_31875
146,BSU_39410
147,BSU_00480
148,BSU_14530
149,BSU_04100
150,BSU_23616
151,BSU_03470
152,BSU_38070
153,BSU_01730
154,BSU_17070
155,BSU_30350
156,BSU_26510
157,BSU_25730
158,BSU_29500
159,BSU_00340
160,BSU_27590
161,BSU_38350
162,BSU_26610
163,BSU_09958
164,BSU_04190
165,BSU_05660
166,BSU_26970
167,BSU_26950
168,BSU_23960
169,BSU_16320
170,BSU_37540
171,BSU_25240
172,BSU_00370
173,BSU_29030
174,BSU_11160
175,BSU_15920
176,BSU_29080
177,BSU_32540
178,BSU_15400
179,BSU_16310
180,BSU_39110
181,BSU_17330
182,BSU_13880
183,BSU_33270
184,BSU_27090
185,BSU_18190
186,BSU_30690
187,BSU_32630
188,BSU_37200
189,BSU_08460
190,BSU_23140
191,BSU_08490
192,BSU_03670
193,BSU_13700
194,BSU_16290
195,BSU_13740
196,BSU_26550
197,BSU_32849
198,BSU_13030
199,BSU_15830
200,BSU_16020
201,BSU_08450
202,BSU_08690
203,BSU_32080
204,BSU_09250
205,BSU_12280
206,BSU_15450
207,BSU_15390
208,BSU_18180
209,BSU_12890
210,BSU_32150
211,BSU_34780
212,BSU_33540
213,BSU_28310
214,BSU_26500
215,BSU_40570
216,BSU_10260
217,BSU_28400
218,BSU_30620
219,BSU_37920
220,BSU_16930
221,BSU_05620
222,BSU_35900
223,BSU_04580
224,BSU_11370
225,BSU_10400
226,BSU_24510
227,BSU_26490
228,BSU_40410
229,BSU_05080
230,BSU_19310
231,BSU_07700
232,BSU_13000
233,BSU_39640
234,BSU_18040
235,BSU_17980
236,BSU_28690
237,BSU_04050
238,BSU_16330
239,BSU_28550
240,BSU_16470
241,BSU_12490
242,BSU_35890
243,BSU_17290
244,BSU_16810
245,BSU_27650
246,BSU_22080
247,BSU_18400
248,BSU_03600
249,BSU_18030
250,BSU_25630
251,BSU_25320
252,BSU_32390
253,BSU_20928
254,BSU_16570
255,BSU_00850
256,BSU_05980
257,BSU_01700
258,BSU_27920
259,BSU_00630
260,BSU_10660
261,BSU_29640
262,BSU_19180
263,BSU_35100
264,BSU_11570
265,BSU_04690
266,BSU_23120
267,BSU_38970
268,BSU_32850
269,BSU_30739
270,BSU_00450
271,BSU_28940
272,BSU_04780
273,BSU_39000
274,BSU_30060
275,BSU_21710
276,BSU_23570
277,BSU_36370
278,BSU_31280
279,BSU_13610
280,BSU_24300
281,BSU_31900
282,BSU_01090
283,BSU_23550
284,BSU_23328
285,BSU_29040
286,BSU_39820
287,BSU_01460
288,BSU_38810
289,BSU_02670
290,BSU_31470
291,BSU_00990
292,BSU_10230
293,BSU_07850
294,BSU_40540
295,BSU_08880
296,BSU_10720
297,BSU_17930
298,BSU_08550
299,BSU_14780
300,BSU_09959
301,BSU_01060
302,BSU_34540
303,BSU_24470
304,BSU_13970
305,BSU_04430
306,BSU_37960
